[2021-06-15 08:45:12] INFO: New Animal Registered - Animal_type: Dog, Breed: Beagle, Name: Max, Animal_age: 3 years, Size_of_animal: Medium, Sex_of_animal: Male, Human_Owner: Sarah Connor, Animal_condition: Adopted
[2022-08-15 09:45:28] INFO: New Animal Registered - Animal_type: Cat, Breed: Norwegian Forest, Name: Freya, Animal_age: 5 years, Size_of_animal: Large, Sex_of_animal: Female, Human_Owner: Elijah Young, Animal_condition: Available
[2022-09-05 11:30:33] INFO: New Animal Registered - Animal_type: Dog, Breed: Dachshund, Name: Oscar, Animal_age: 2 years, Size_of_animal: Small, Sex_of_animal: Male, Human_Owner: Amelia Martinez, Animal_condition: Adopted
[2022-10-18 14:20:50] INFO: New Animal Registered - Animal_type: Bird, Breed: Budgerigar, Name: Buddy, Animal_age: 3 years, Size_of_animal: Small, Sex_of_animal: Female, Human_Owner: Lucas Garcia, Animal_condition: Available
[2022-11-22 16:55:14] WARNING: Health Check Required - Animal_type: Dog, Breed: Rottweiler, Name: Zeus, Animal_age: 4 years, Size_of_animal: Large, Sex_of_animal: Male, Human_Owner: Charlotte Wilson, Animal_condition: In Treatment
[2022-12-10 08:40:35] INFO: New Animal Registered - Animal_type: Cat, Breed: Abyssinian, Name: Cleo, Animal_age: 1 year, Size_of_animal: Medium, Sex_of_animal: Female, Human_Owner: Henry Rodriguez, Animal_condition: Adopted
[2023-01-05 17:30:55] INFO: New Animal Registered - Animal_type: Rabbit, Breed: Flemish Giant, Name: Goliath, Animal_age: 2 years, Size_of_animal: Large, Sex_of_animal: Male, Human_Owner: Ava Smith, Animal_condition: Available
[2023-02-17 10:10:30] INFO: New Animal Registered - Animal_type: Dog, Breed: French Bulldog, Name: Stella, Animal_age: 3 years, Size_of_animal: Medium, Sex_of_animal: Female, Human_Owner: Chloe Thompson, Animal_condition: Adopted
[2023-03-22 11:55:47] INFO: New Animal Registered - Animal_type: Cat, Breed: Himalayan, Name: Shadow, Animal_age: 2 years, Size_of_animal: Small, Sex_of_animal: Male, Human_Owner: Michael Robinson, Animal_condition: Available
[2023-04-05 09:30:12] INFO: New Animal Registered - Animal_type: Bird, Breed: African Grey Parrot, Name: Einstein, Animal_age: 4 years, Size_of_animal: Medium, Sex_of_animal: Male, Human_Owner: Sophia Martinez, Animal_condition: Adopted
[2023-04-18 14:45:55] WARNING: Health Check Required - Animal_type: Dog, Breed: Cocker Spaniel, Name: Lady, Animal_age: 5 years, Size_of_animal: Medium, Sex_of_animal: Female, Human_Owner: Daniel Hernandez, Animal_condition: In Treatment
[2023-05-02 13:15:20] ALERT: Animal Missing - Animal_type: Cat, Breed: Russian Blue, Name: Misty, Animal_age: 6 years, Size_of_animal: Medium, Sex_of_animal: Female, Human_Owner: Olivia Brown, Animal_condition: Lost
[2023-05-20 16:40:33] INFO: New Animal Registered - Animal_type: Rabbit, Breed: Holland Lop, Name: Thumper, Animal_age: 1 year, Size_of_animal: Small, Sex_of_animal: Male, Human_Owner: Ethan Anderson, Animal_condition: Available
[2023-06-07 08:55:28] INFO: New Animal Registered - Animal_type: Dog, Breed: Doberman, Name: Titan, Animal_age: 3 years, Size_of_animal: Large, Sex_of_animal: Male, Human_Owner: Ava Garcia, Animal_condition: Adopted
[2023-06-25 12:30:10] INFO: New Animal Registered - Animal_type: Bird, Breed: Lovebird, Name: Rosie, Animal_age: 2 years, Size_of_animal: Small, Sex_of_animal: Female, Human_Owner: Mason Davis, Animal_condition: Available
[2023-07-13 15:47:22] WARNING: Health Check Required - Animal_type: Cat, Breed: Siamese, Name: Suki, Animal_age: 7 years, Size_of_animal: Medium, Sex_of_animal: Female, Human_Owner: Isabella Martinez, Animal_condition: In Treatment
[2023-08-01 17:20:39] INFO: New Animal Registered - Animal_type: Dog, Breed: Border Collie, Name: Max, Animal_age: 4 years, Size_of_animal: Medium, Sex_of_animal: Male, Human_Owner: Emma Wilson, Animal_condition: Adopted

